Respondent_ID,Age,Gender,City,Income_LPA,Product_Usage,Satisfaction_Score
3705499,51,Female,Robertfort,8,Weekly,6
13989895,27,Male,Denisefort,8,Monthly,9
1194878,55,Male,Elliottburgh,8,Weekly,6
13141810,55,Male,Brownside,8,Daily,7
12324259,50,Male,Dunnhaven,8,Weekly,9
6086621,37,Male,Andrewchester,8,Monthly,6
2082899,52,Male,Jenniferville,8,Monthly,7
11258476,29,Male,Nicoleport,8,Monthly,6
11651517,40,Female,Port Lindsey,8,Monthly,9
10372693,47,Male,Longberg,8,Daily,9
2451507,55,Female,Travishaven,35,Daily,8
14009813,55,Female,Davidside,8,Monthly,6
7233005,55,Male,Benjaminstad,8,Weekly,9
8547901,50,Female,Andreabury,16,Weekly,9
5946087,40,Female,Port Danielle,8,Daily,8
8133446,36,Female,East Andrewmouth,24,Weekly,7
8024652,26,Female,West Paulaland,8,Daily,6
14468049,55,Male,Smithport,17,Daily,8
3312089,55,Female,Wiseside,8,Daily,6
14940735,43,Female,Karinatown,17,Monthly,7
413906,55,Female,West Lindsay,8,Daily,6
14697454,55,Male,Antoniomouth,27,Weekly,7
4257943,37,Male,Jamesport,17,Daily,8
1269192,38,Female,New Thomasburgh,11,Daily,8
3127483,39,Female,Port Jesusport,8,Weekly,7
11038743,55,Female,Lisabury,8,Monthly,6
66826,42,Male,Chasetown,8,Daily,6
14979083,32,Male,Fowlerport,9,Weekly,6
8169855,26,Male,Michealfurt,8,Weekly,8
11869512,44,Male,North Waynehaven,8,Weekly,6
10265513,26,Male,South Megan,8,Weekly,6
7502162,55,Female,West Louis,8,Weekly,6
2626481,54,Male,North Manueltown,27,Daily,9
14804369,55,Female,Port Kathrynborough,8,Daily,6
14716695,44,Female,East Lisaview,8,Daily,6
5677836,49,Male,Lake Meganhaven,8,Weekly,7
4645396,55,Female,Austinton,15,Weekly,7
10430242,55,Female,Port Christopher,18,Weekly,6
13968455,32,Male,Snydertown,8,Weekly,8
5464982,48,Male,Nancyport,10,Daily,7
8705832,29,Female,Lake Rachel,8,Daily,8
15420613,32,Female,Thomashaven,8,Monthly,7
7195630,55,Male,Salazarside,8,Daily,8
16109398,55,Male,Bowmanside,8,Daily,8
395789,26,Female,East Johnathan,19,Daily,7
11529704,38,Male,Gloverland,8,Daily,8
13498199,43,Female,Chambersfort,8,Weekly,7
15433291,26,Female,North Jimmy,8,Weekly,6
4065161,31,Female,Douglasville,10,Weekly,6
6173574,36,Female,Lake Stephanieberg,8,Daily,7
4338716,38,Male,Lake Tinaview,20,Weekly,6
3955375,26,Female,East Alexander,8,Monthly,9
2715871,43,Female,Millerborough,35,Weekly,6
10165010,55,Male,West Laurachester,11,Daily,7
14973549,35,Female,Port Blake,28,Weekly,6
12251879,36,Male,Randystad,8,Monthly,6
7203408,26,Male,Ricardobury,8,Daily,9
14492947,26,Male,Jenniferstad,8,Daily,8
4530312,55,Female,Carloschester,14,Daily,7
8427334,50,Male,Josephborough,8,Daily,7
7427579,55,Female,Tranborough,8,Daily,8
5043678,55,Male,East Chelsea,8,Weekly,7
12272846,26,Female,North Joseph,8,Monthly,6
12519967,26,Female,Port Philip,17,Weekly,6
2008660,55,Male,Wandaview,8,Daily,7
8164356,39,Male,Comptontown,8,Daily,8
15217693,55,Male,Harringtonmouth,8,Weekly,9
2370458,26,Male,East Lisa,8,Daily,9
11563762,47,Female,Stonebury,8,Weekly,8
2747851,35,Female,Joybury,8,Daily,7
13409408,55,Female,Justinside,8,Monthly,6
12677694,35,Female,North Richardmouth,25,Daily,7
5974076,55,Female,Thompsontown,8,Weekly,7
387451,55,Male,South Kim,8,Daily,8
15890368,33,Female,Mistyfurt,24,Monthly,6
