Respondent_ID,Age,Gender,City,Income_LPA,Product_Usage,Satisfaction_Score
3705499,55,Female,Robertfort,28,Weekly,8
13989895,55,Male,Denisefort,31,Daily,6
1194878,44,Male,Elliottburgh,8,Daily,7
13141810,55,Male,Brownside,18,Weekly,8
12324259,55,Female,Dunnhaven,18,Monthly,7
6086621,37,Male,Andrewchester,31,Weekly,9
2082899,55,Female,Jenniferville,15,Monthly,9
11258476,44,Male,Nicoleport,26,Monthly,7
11651517,47,Male,Port Lindsey,22,Monthly,8
10372693,54,Female,Longberg,18,Daily,7
2451507,55,Female,Travishaven,14,Daily,6
14009813,54,Female,Davidside,24,Monthly,6
7233005,55,Male,Benjaminstad,8,Daily,7
8547901,55,Female,Andreabury,8,Weekly,6
5946087,41,Male,Port Danielle,8,Daily,7
8133446,55,Female,East Andrewmouth,8,Weekly,6
8024652,55,Female,West Paulaland,35,Weekly,6
14468049,55,Male,Smithport,19,Daily,8
3312089,33,Male,Wiseside,35,Daily,7
14940735,48,Female,Karinatown,28,Monthly,6
413906,47,Female,West Lindsay,9,Weekly,6
14697454,40,Male,Antoniomouth,17,Daily,6
4257943,26,Male,Jamesport,20,Daily,8
1269192,55,Female,New Thomasburgh,21,Weekly,6
3127483,55,Female,Port Jesusport,21,Daily,7
11038743,38,Male,Lisabury,8,Monthly,7
66826,55,Male,Chasetown,20,Daily,7
14979083,55,Male,Fowlerport,19,Weekly,8
8169855,28,Female,Michealfurt,8,Daily,7
11869512,54,Female,North Waynehaven,8,Monthly,8
10265513,50,Female,South Megan,26,Daily,6
7502162,34,Male,West Louis,21,Weekly,7
2626481,55,Male,North Manueltown,8,Daily,8
14804369,55,Female,Port Kathrynborough,28,Daily,6
14716695,52,Female,East Lisaview,16,Daily,8
5677836,55,Female,Lake Meganhaven,14,Monthly,6
4645396,34,Female,Austinton,15,Monthly,7
10430242,55,Female,Port Christopher,16,Daily,7
13968455,33,Male,Snydertown,8,Daily,9
5464982,43,Male,Nancyport,15,Weekly,8
8705832,36,Male,Lake Rachel,25,Daily,8
